Siparis_No,Paket_ID,Musteri_Adi,Musteri_Soyadi,Sehir,Siparis_Tarihi,Durum,Brut_Tutar_TL,Indirim_TL,Net_Tutar_TL,Urun_Maliyeti_TL,Trendyol_Komisyonu_TL,Kargo_Maliyeti_TL,Tahmini_Kar_TL,Kesinlesen_Kar_TL
TY-ORD-1789839811,,Zeynep,Kaya,Ankara,2026-09-19 17:43:31,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789839613,,Zeynep,Kaya,Ankara,2026-09-19 17:40:13,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789839597,,Zeynep,Kaya,Ankara,2026-09-19 17:39:57,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789839399,,Zeynep,Kaya,Ankara,2026-09-19 17:36:39,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789839388,,Zeynep,Kaya,Ankara,2026-09-19 17:36:28,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789839188,,Zeynep,Kaya,Ankara,2026-09-19 17:33:08,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789839180,,Zeynep,Kaya,Ankara,2026-09-19 17:33:00,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789838949,,Zeynep,Kaya,Ankara,2026-09-19 17:29:09,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789838734,,Zeynep,Kaya,Ankara,2026-09-19 17:25:34,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789838729,,Zeynep,Kaya,Ankara,2026-09-19 17:25:29,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789831416,,Mehmet,Demir,İzmir,2026-09-19 17:23:36,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789831406,,Mehmet,Demir,İzmir,2026-09-19 17:23:26,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789831387,,Mehmet,Demir,İzmir,2026-09-19 17:23:07,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789831369,,Mehmet,Demir,İzmir,2026-09-19 17:22:49,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789831356,,Mehmet,Demir,İzmir,2026-09-19 17:22:36,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789831014,,Mehmet,Demir,İzmir,2026-09-19 17:16:55,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789830827,,Mehmet,Demir,İzmir,2026-09-19 17:13:47,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789830817,,Mehmet,Demir,İzmir,2026-09-19 17:13:37,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789830796,,Mehmet,Demir,İzmir,2026-09-19 17:13:16,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789830784,,Mehmet,Demir,İzmir,2026-09-19 17:13:04,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789830395,,Mehmet,Demir,İzmir,2026-09-19 17:06:35,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789830201,,Mehmet,Demir,İzmir,2026-09-19 17:03:21,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789830182,,Mehmet,Demir,İzmir,2026-09-19 17:03:02,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789829964,,Mehmet,Demir,İzmir,2026-09-19 16:59:24,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789829760,,Mehmet,Demir,İzmir,2026-09-19 16:56:00,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789829429,,Mehmet,Demir,İzmir,2026-09-19 16:50:29,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789829204,,Mehmet,Demir,İzmir,2026-09-19 16:46:44,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789829194,,Mehmet,Demir,İzmir,2026-09-19 16:46:34,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789829011,,Mehmet,Demir,İzmir,2026-09-19 16:43:31,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789828813,,Mehmet,Demir,İzmir,2026-09-19 16:40:13,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789828797,,Mehmet,Demir,İzmir,2026-09-19 16:39:57,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789828599,,Mehmet,Demir,İzmir,2026-09-19 16:36:39,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789828588,,Mehmet,Demir,İzmir,2026-09-19 16:36:28,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789828388,,Mehmet,Demir,İzmir,2026-09-19 16:33:08,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789828380,,Mehmet,Demir,İzmir,2026-09-19 16:33:00,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789828149,,Mehmet,Demir,İzmir,2026-09-19 16:29:09,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789827934,,Mehmet,Demir,İzmir,2026-09-19 16:25:34,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
TY-ORD-1789827929,,Mehmet,Demir,İzmir,2026-09-19 16:25:29,Delivered,1199.80,0.00,1199.80,370.00,239.96,38.50,431.36,-
